sex,Predicted_age,Weekday,TimeOfDay,mean
F,48,Wednesday,Night,68.10526315789474
F,48,Wednesday,Noon,65.5
F,49,Friday,Eve,59.714285714285715
F,49,Friday,Morning,60.0
F,49,Friday,Night,63.63157894736842
F,49,Friday,Noon,51.5
F,49,Monday,Eve,59.75
F,49,Monday,Morning,64.5
F,49,Monday,Night,50.214285714285715
F,49,Monday,Noon,55.5
F,49,Saturday,Eve,46.25
F,49,Saturday,Morning,40.0
F,49,Saturday,Night,66.9
F,49,Saturday,Noon,52.285714285714285
F,49,Sunday,Eve,65.0
F,49,Sunday,Morning,66.0
F,49,Sunday,Night,63.55555555555556
F,49,Sunday,Noon,37.5
F,49,Thursday,Eve,62.0
F,49,Thursday,Morning,60.833333333333336
F,49,Thursday,Night,61.94117647058823
F,49,Thursday,Noon,53.54545454545455
F,49,Tuesday,Eve,60.25
F,49,Tuesday,Night,52.166666666666664
F,49,Tuesday,Noon,60.166666666666664
F,49,Wednesday,Eve,61.42857142857143
F,49,Wednesday,Morning,25.0
F,49,Wednesday,Night,59.785714285714285
F,49,Wednesday,Noon,65.0
F,50,Friday,Eve,53.13333333333333
F,50,Friday,Morning,56.2
F,50,Friday,Night,65.11764705882354
F,50,Friday,Noon,77.0
F,50,Monday,Eve,67.0
F,50,Monday,Morning,62.285714285714285
F,50,Monday,Night,58.06666666666667
F,50,Monday,Noon,59.666666666666664
F,50,Saturday,Eve,54.0
F,50,Saturday,Morning,49.7
F,50,Saturday,Night,53.22222222222222
F,50,Saturday,Noon,57.416666666666664
F,50,Sunday,Eve,65.0
F,50,Sunday,Morning,51.333333333333336
F,50,Sunday,Night,55.416666666666664
F,50,Sunday,Noon,58.75
F,50,Thursday,Eve,59.42857142857143
F,50,Thursday,Morning,65.0
F,50,Thursday,Night,58.5
F,50,Thursday,Noon,60.8
F,50,Tuesday,Eve,64.0
F,50,Tuesday,Morning,55.333333333333336
F,50,Tuesday,Night,60.285714285714285
F,50,Tuesday,Noon,49.5
F,50,Wednesday,Eve,56.07692307692308
F,50,Wednesday,Morning,67.66666666666667
F,50,Wednesday,Night,62.15384615384615
F,50,Wednesday,Noon,54.0
F,51,Friday,Eve,62.0
F,51,Friday,Night,65.0
F,51,Monday,Morning,37.5
F,51,Monday,Night,63.0
F,51,Monday,Noon,37.5
F,51,Saturday,Night,65.0
F,51,Saturday,Noon,65.5
F,51,Sunday,Eve,65.0
